"","Label","Type","00- Reference Model","01- No Acoustic visual","02- No tagging index","03- No non-trawl index","04- No ORBS index","05- No MRFSS index","06- No MPA index","07- Add SMURF index","08- No data-weighting","09- Dirichlet","10- McA-I","11- 2015 Catch history","12- Sex=3","13- Sex=3, est M","14- No age bias"
"103",NA,"Main_RecrDev_1985",0.117348,0.12819,0.111024,0.247522,0.08777,0.0772999,0.111762,0.115625,0.129049,0.100182,0.0461543,0.0700843,0.082389,0.0784847,0.0674927
"104",NA,"Main_RecrDev_1986",-0.062489,-0.052749,-0.0684946,0.0607261,-0.0906433,-0.0960006,-0.0677017,-0.0640793,-0.091943,-0.120408,-0.0779121,-0.0871929,-0.121022,-0.125099,-0.117262
"105",NA,"Main_RecrDev_1987",-0.143152,-0.13467,-0.148874,-0.0262416,-0.170019,-0.171739,-0.147975,-0.144682,-0.169534,-0.199443,-0.122416,-0.144562,-0.225521,-0.225175,-0.0551845
"106",NA,"Main_RecrDev_1988",-0.103927,-0.0967089,-0.109448,0.00777282,-0.129792,-0.128659,-0.108376,-0.105448,-0.229706,-0.262853,0.0287727,-0.0841904,-0.223508,-0.215528,-0.0249974
"107",NA,"Main_RecrDev_1989",0.153584,0.159531,0.148189,0.260444,0.128542,0.130968,0.149519,0.152035,0.0526816,0.0187578,0.285016,0.191711,0.0126127,0.0301791,0.13938
"108",NA,"Main_RecrDev_1990",0.0928108,0.0976328,0.0874537,0.19517,0.0683638,0.0729918,0.0891102,0.091254,0.0661727,0.0320469,0.136025,0.141012,-0.0579146,-0.0281813,0.127968
"109",NA,"Main_RecrDev_1991",0.214021,0.21783,0.208677,0.311408,0.190293,0.195708,0.210707,0.212459,0.183892,0.150036,0.2587,0.263575,0.0686136,0.10857,0.248786
"110",NA,"Main_RecrDev_1992",0.120145,0.122896,0.114864,0.210858,0.0975833,0.104077,0.117297,0.118626,0.0919303,0.0604704,0.163355,0.17161,-0.00891358,0.0413975,0.128203
"111",NA,"Main_RecrDev_1993",0.109329,0.111579,0.104131,0.193286,0.0883631,0.0964816,0.106885,0.107894,0.0752475,0.0487949,0.152264,0.159195,0.0175654,0.0569237,0.0589133
"112",NA,"Main_RecrDev_1994",0.403252,0.405252,0.39821,0.47955,0.384618,0.394437,0.40122,0.40196,0.375668,0.356701,0.432487,0.438723,0.362539,0.381527,0.282023
"113",NA,"Main_RecrDev_1995",0.338053,0.339895,0.333197,0.406411,0.32277,0.334186,0.336425,0.336937,0.326658,0.317201,0.347975,0.359052,0.349123,0.346069,0.189424
"114",NA,"Main_RecrDev_1996",0.0537867,0.0550429,0.0490536,0.11416,0.0437687,0.0544872,0.0525824,0.0527902,0.0687183,0.0655209,0.0346175,0.0678191,0.0702621,0.0583065,-0.0737133
"115",NA,"Main_RecrDev_1997",0.0168881,0.017014,0.0121444,0.0671567,0.0149792,0.019885,0.0161328,0.0158892,0.0487618,0.0495761,-0.0329774,0.0297995,-0.00644318,-0.0250484,-0.180644
"116",NA,"Main_RecrDev_1998",-0.298179,-0.299001,-0.3028,-0.260529,-0.292827,-0.290303,-0.298638,-0.299164,-0.277055,-0.280052,-0.340953,-0.290531,-0.301218,-0.325336,-0.226604
"117",NA,"Main_RecrDev_1999",0.505156,0.503654,0.49793,0.5268,0.515856,0.510288,0.505189,0.504273,0.563064,0.572826,0.438145,0.51512,0.769687,0.73141,0.212171
"118",NA,"Main_RecrDev_2000",0.827342,0.824723,0.826145,0.823026,0.844837,0.830902,0.827149,0.826327,0.862227,0.871209,0.808175,0.848016,0.765255,0.746517,0.42384
"119",NA,"Main_RecrDev_2001",0.152747,0.150218,0.172214,0.130651,0.170162,0.150359,0.151684,0.151688,0.265742,0.275271,0.100744,0.185218,0.186533,0.164152,0.0734644
"120",NA,"Main_RecrDev_2002",-0.520008,-0.520122,-0.51635,-0.524532,-0.510416,-0.490341,-0.521388,-0.520335,-0.653617,-0.621796,-0.433971,-0.51433,-0.38249,-0.381453,-0.16906
